"QALD id","match status","QALD question","QueGG question","QALD SPARQL query","QueGG SPARQL query"
"1139","1.0","Which president of United States had vice president as John Adams?","Which president of United States had vice president as John Adams?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/vicePresident> <http://dbpedia.org/resource/John_Adams>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/vicePresident> <http://dbpedia.org/resource/John_Adams>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>
}"
"1141","1.0","Where was the successor of Hank Brown born?","Where was the successor of Hank Brown born?","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hank_Brown> <http://dbpedia.org/property/successor> ?x . ?x <http://dbpedia.org/ontology/birthPlace> ?uri  . }","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Hank_Brown> <http://dbpedia.org/property/successor> ?x . ?x <http://dbpedia.org/ontology/birthPlace> ?uri  . 
}"
"1145","1.0","Name the partners of Kelly Brook?","Name the partners of Kelly Brook?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kelly_Brook> <http://dbpedia.org/ontology/partner> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Kelly_Brook> <http://dbpedia.org/ontology/partner> ?uri 
}"
"1150","1.0","Where does John A Danaher III work?","Where does John A Danaher III work?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_A._Danaher_III> <http://dbpedia.org/property/office> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/John_A._Danaher_III> <http://dbpedia.org/property/office> ?uri 
}"
"1154","1.0","Who is the person whose home town is Fairmount, Indiana?","Who is the person whose home town is Fairmount, Indiana?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Fairmount,_Indiana>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Fairmount,_Indiana>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>
}"
"1156","0.0","Is George Lucas the cinematographer of 6-18-67?",,"ASK WHERE { <http://dbpedia.org/resource/6-18-67> <http://dbpedia.org/property/cinematography> <http://dbpedia.org/resource/George_Lucas> }",
"1203","1.0","Name the rivers who originate from Essex?","Name the rivers who originate from Essex?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/mouthPlace> <http://dbpedia.org/resource/Essex>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/mouthPlace> <http://dbpedia.org/resource/Essex>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>
}"
"1214","1.0","Which bacteria's taxonomic class is Bacilli?","Which bacteria's taxonomic class is Bacilli?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/class> <http://dbpedia.org/resource/Bacilli>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Bacteria>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/class> <http://dbpedia.org/resource/Bacilli>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Bacteria>
}"
"1243","1.0","Where did the 2015 MLS All-Star Game take place?","Where did the 2015 MLS All-Star Game take place?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2015_MLS_All-Star_Game> <http://dbpedia.org/property/city> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/2015_MLS_All-Star_Game> <http://dbpedia.org/property/city> ?uri 
}"
"1248","1.0","Name the directors of Lennon Legend: The Very Best of John Lennon (DVD) ?","Name the directors of Lennon Legend: The Very Best of John Lennon (DVD) ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lennon_Legend:_The_Very_Best_of_John_Lennon_(DVD)> <http://dbpedia.org/ontology/director> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Lennon_Legend:_The_Very_Best_of_John_Lennon_(DVD)> <http://dbpedia.org/ontology/director> ?uri 
}"
"1256","1.0","Who is the owner of the South end ?","Who is the owner of the South end ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_South_End> <http://dbpedia.org/property/owners> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/The_South_End> <http://dbpedia.org/property/owners> ?uri 
}"
"1282","1.0","Count the affiliations of International Union of Anarchists?","Count the affiliations of International Union of Anarchists?","SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/International_Union_of_Anarchists> <http://dbpedia.org/property/affiliation> ?uri  . }","SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/International_Union_of_Anarchists> <http://dbpedia.org/property/affiliation> ?uri  . }"
"1331","1.0","Alexander Magleby, a rugby player is alma mater to which university?","Alexander Magleby, a rugby player is alma mater to which university?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Alexander_Magleby> <http://dbpedia.org/property/university> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Alexander_Magleby> <http://dbpedia.org/property/university> ?uri 
}"
"1348","1.0","Name some basketball players who  have played for chicago bulls?","Name some basketball players who  have played for chicago bulls?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BasketballPlayer>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BasketballPlayer>
}"
"1384","1.0","In which city wasThe Triple Door (The Courage album)  performed live?","In which city wasThe Triple Door (The Courage album)  performed live?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Live_at_The_Triple_Door_(The_Courage_album)> <http://dbpedia.org/property/recorded> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Live_at_The_Triple_Door_(The_Courage_album)> <http://dbpedia.org/property/recorded> ?uri 
}"
"1409","1.0","What are the television shows whose starting music is composed by Ron Grainer?","What are the television shows whose starting music is composed by Ron Grainer?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/themeMusicComposer> <http://dbpedia.org/resource/Ron_Grainer>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/themeMusicComposer> <http://dbpedia.org/resource/Ron_Grainer>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>
}"
"1528","1.0","Which models were featured in Playboy Playmates 1954?","Which models were featured in Playboy Playmates 1954?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/succeeded> <http://dbpedia.org/resource/List_of_Playboy_Playmates_of_1954>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/PlayboyPlaymate>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/succeeded> <http://dbpedia.org/resource/List_of_Playboy_Playmates_of_1954>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/PlayboyPlaymate>
}"
"1531","1.0","What is the baseball team whose club manager is Chip Hale?","What is the baseball team whose club manager is Chip Hale?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/manager> <http://dbpedia.org/resource/Chip_Hale>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BaseballTeam>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/manager> <http://dbpedia.org/resource/Chip_Hale>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BaseballTeam>
}"
"1570","1.0","What is the nationality of Aishath Saffa ?","What is the nationality of Aishath Saffa ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Aishath_Saffa> <http://dbpedia.org/property/nationality> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Aishath_Saffa> <http://dbpedia.org/property/nationality> ?uri 
}"
"1573","1.0","What is the currency of Kerguelen Islands ?","What is the currency of Kerguelen Islands ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kerguelen_Islands> <http://dbpedia.org/ontology/currency> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Kerguelen_Islands> <http://dbpedia.org/ontology/currency> ?uri 
}"
"1631","1.0","What is the largest city of Pulau Ubin ?","What is the largest city of Pulau Ubin ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pulau_Ubin> <http://dbpedia.org/ontology/largestCity> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Pulau_Ubin> <http://dbpedia.org/ontology/largestCity> ?uri 
}"
"1646","1.0","Who was the United States president who also served as a governor of Indiana Territory?","Who was the United States president who also served as a governor of Indiana Territory?"," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/branch> <http://dbpedia.org/resource/Indiana_Territory> } ","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/branch> <http://dbpedia.org/resource/Indiana_Territory> 
}"
"1664","1.0","Name the alma mater of Ernest de Saisset ?","Name the alma mater of Ernest de Saisset ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ernest_de_Saisset> <http://dbpedia.org/ontology/almaMater> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Ernest_de_Saisset> <http://dbpedia.org/ontology/almaMater> ?uri 
}"
"1680","1.0","What stadium's operator is Stan Kroenke","What stadium's operator is Stan Kroenke","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/operator> <http://dbpedia.org/resource/Stan_Kroenke>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Stadium>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/operator> <http://dbpedia.org/resource/Stan_Kroenke>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Stadium>
}"
"1685","1.0","Name the resting place of Fazlur Rahman Khan ?","Name the resting place of Fazlur Rahman Khan ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fazlur_Rahman_Khan> <http://dbpedia.org/ontology/restingPlace> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Fazlur_Rahman_Khan> <http://dbpedia.org/ontology/restingPlace> ?uri 
}"
"1693","1.0","What is the district of Methodist Central Hall Westminster ?","What is the district of Methodist Central Hall Westminster ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Methodist_Central_Hall_Westminster> <http://dbpedia.org/ontology/district> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Methodist_Central_Hall_Westminster> <http://dbpedia.org/ontology/district> ?uri 
}"
"1733","1.0","What is the government type of Ancient Rome ?","What is the government type of Ancient Rome ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ancient_Rome> <http://dbpedia.org/ontology/governmentType> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Ancient_Rome> <http://dbpedia.org/ontology/governmentType> ?uri 
}"
"1734","1.0","Who are the animator of The Skeleton Dance?","Who are the animator of The Skeleton Dance?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Skeleton_Dance> <http://dbpedia.org/ontology/animator> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/The_Skeleton_Dance> <http://dbpedia.org/ontology/animator> ?uri 
}"
"1753","1.0","What are the movies whose screenplay is done by Eric Roth?","What are the movies whose screenplay is done by Eric Roth?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/screenplay> <http://dbpedia.org/resource/Eric_Roth>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/screenplay> <http://dbpedia.org/resource/Eric_Roth>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>
}"
"1757","1.0","What cities are near to Nihoa which is also known as Bird Island ?","What cities are near to Nihoa which is also known as Bird Island ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Nihoa> <http://dbpedia.org/property/nearestCity> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Nihoa> <http://dbpedia.org/property/nearestCity> ?uri 
}"
"1792","1.0","Who is the partner of Rob Patterson?","Who is the partner of Rob Patterson?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/partner> <http://dbpedia.org/resource/Rob_Patterson>  . }","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/partner> <http://dbpedia.org/resource/Rob_Patterson>  . 
}"
"1794","1.0","Name the parent company of  Ford Air Transport Service ?","Name the parent company of  Ford Air Transport Service ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ford_Air_Transport_Service> <http://dbpedia.org/ontology/parentCompany> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Ford_Air_Transport_Service> <http://dbpedia.org/ontology/parentCompany> ?uri 
}"
"1802","1.0","who developed google videos?","who developed google videos?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Google_Videos> <http://dbpedia.org/property/developer> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Google_Videos> <http://dbpedia.org/property/developer> ?uri 
}"
"1824","0.0","Is jim harbaugh currently in the Michigan Wolverines?",,"ASK WHERE { <http://dbpedia.org/resource/Jim_Harbaugh> <http://dbpedia.org/property/currentteam> <http://dbpedia.org/resource/Michigan_Wolverines> }",
"1838","1.0","Which driver had the pole position in 1994 Spanish Grand Prix ?","Which driver had the pole position in 1994 Spanish Grand Prix ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1994_Spanish_Grand_Prix> <http://dbpedia.org/ontology/poleDriver> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/1994_Spanish_Grand_Prix> <http://dbpedia.org/ontology/poleDriver> ?uri 
}"
"1843","1.0","What is the automobile platform of Chiva bus ?","What is the automobile platform of Chiva bus ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chiva_bus> <http://dbpedia.org/ontology/automobilePlatform> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Chiva_bus> <http://dbpedia.org/ontology/automobilePlatform> ?uri 
}"
"1865","1.0","Who was the coach of marquette Golden Eagles men's basketball team-2012,13 season ?","Who was the coach of marquette Golden Eagles men's basketball team-2012,13 season ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2012–13_Marquette_Golden_Eagles_men's_basketball_team> <http://dbpedia.org/ontology/coach> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/2012–13_Marquette_Golden_Eagles_men's_basketball_team> <http://dbpedia.org/ontology/coach> ?uri 
}"
"1899","1.0","Who is the relative of Jim Farley (businessman) ?","Who is the relative of Jim Farley (businessman) ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jim_Farley_(businessman)> <http://dbpedia.org/property/relatives> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Jim_Farley_(businessman)> <http://dbpedia.org/property/relatives> ?uri 
}"
"1906","1.0","Who is the narrator of The Price of Beauty ?","Who is the narrator of The Price of Beauty ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Price_of_Beauty> <http://dbpedia.org/ontology/narrator> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/The_Price_of_Beauty> <http://dbpedia.org/ontology/narrator> ?uri 
}"
"1917","1.0","List few Swedish language movies ?","List few Swedish language movies ?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/language> <http://dbpedia.org/resource/Swedish_language>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/language> <http://dbpedia.org/resource/Swedish_language>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>
}"
"1944","1.0","What are some orthonychidae birds?","What are some orthonychidae birds?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Orthonychidae>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Bird>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Orthonychidae>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Bird>
}"
"1958","1.0","What is the television show whose related with  Doctor Who Confidential?","What is the television show whose related with  Doctor Who Confidential?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/related> <http://dbpedia.org/resource/Doctor_Who_Confidential>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/related> <http://dbpedia.org/resource/Doctor_Who_Confidential>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>
}"
"1975","1.0","Name the office holder whose constituency is Haight-Ashbury?","Name the office holder whose constituency is Haight-Ashbury?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/constituency> <http://dbpedia.org/resource/Haight-Ashbury>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/constituency> <http://dbpedia.org/resource/Haight-Ashbury>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>
}"
"1982","1.0","list the founders of Bream Bay ?","list the founders of Bream Bay ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bream_Bay> <http://dbpedia.org/property/founder> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Bream_Bay> <http://dbpedia.org/property/founder> ?uri 
}"
"1984","1.0","List the companies operating in Australia?","List the companies operating in Australia?"," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/regionServed> <http://dbpedia.org/resource/Australia> } ","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/regionServed> <http://dbpedia.org/resource/Australia> 
}"
"1997","1.0","Name the source of Raa ?","Name the source of Raa ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Raša_(river)> <http://dbpedia.org/ontology/source> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Raša_(river)> <http://dbpedia.org/ontology/source> ?uri 
}"
"2027","1.0","GetTV is owned by which organisation?","GetTV is owned by which organisation?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/GetTV> <http://dbpedia.org/ontology/parentOrganisation> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/GetTV> <http://dbpedia.org/ontology/parentOrganisation> ?uri 
}"
"2035","1.0","Who composed the music for Tonight's the Night ?","Who composed the music for Tonight's the Night ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tonight's_the_Night_(2003_musical)> <http://dbpedia.org/property/music> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Tonight's_the_Night_(2003_musical)> <http://dbpedia.org/property/music> ?uri 
}"
"2047","1.0","What movies have been written by authors of Monty Python ?","What movies have been written by authors of Monty Python ?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/writer> <http://dbpedia.org/resource/Monty_Python>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/writer> <http://dbpedia.org/resource/Monty_Python>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>
}"
"2055","1.0","Who is a religious figure titled superior general?","Who is a religious figure titled superior general?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/title> <http://dbpedia.org/resource/Superior_general>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Religious>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/title> <http://dbpedia.org/resource/Superior_general>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Religious>
}"
"2061","1.0","Which are the predecessor of Chevrolet Caprice?","Which are the predecessor of Chevrolet Caprice?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chevrolet_Caprice> <http://dbpedia.org/ontology/predecessor> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Chevrolet_Caprice> <http://dbpedia.org/ontology/predecessor> ?uri 
}"
"2128","1.0","Where Everybody knows you is the theme album of which show ?","Where Everybody knows you is the theme album of which show ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Where_Everybody_Knows_Your_Name> <http://dbpedia.org/ontology/album> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Where_Everybody_Knows_Your_Name> <http://dbpedia.org/ontology/album> ?uri 
}"
"2143","1.0","Who edited Easy street ?","Who edited Easy street ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Easy_Street_(film)> <http://dbpedia.org/ontology/editing> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Easy_Street_(film)> <http://dbpedia.org/ontology/editing> ?uri 
}"
"2156","1.0","Count the number of region of AN/FSQ-7 Combat Direction Central?","Count the number of region of AN/FSQ-7 Combat Direction Central?","SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/AN/FSQ-7_Combat_Direction_Central> <http://dbpedia.org/ontology/region> ?uri  . }","SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/AN/FSQ-7_Combat_Direction_Central> <http://dbpedia.org/ontology/region> ?uri  . }"
"2158","1.0","Where was Special 26 recorded ?","Where was Special 26 recorded ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Special_26> <http://dbpedia.org/property/recorded> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Special_26> <http://dbpedia.org/property/recorded> ?uri 
}"
"2160","1.0","List the people with Scientology as their religious belief?","List the people with Scientology as their religious belief?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/religion> <http://dbpedia.org/resource/Scientology>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/religion> <http://dbpedia.org/resource/Scientology>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>
}"
"2188","1.0","Where was Sino-French War fought ?","Where was Sino-French War fought ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sino-French_War> <http://dbpedia.org/ontology/territory> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Sino-French_War> <http://dbpedia.org/ontology/territory> ?uri 
}"
"2190","1.0","Who is the owner of  Chelsea F.C. ?","Who is the owner of  Chelsea F.C. ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chelsea_F.C.> <http://dbpedia.org/property/owner> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Chelsea_F.C.> <http://dbpedia.org/property/owner> ?uri 
}"
"2193","1.0","How many bacterias are there whose division is Firmicutes?","How many bacterias are there whose division is Firmicutes?","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/division> <http://dbpedia.org/resource/Firmicutes>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Bacteria>}","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/division> <http://dbpedia.org/resource/Firmicutes>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Bacteria>}"
"2200","1.0","What famous politician died in the Petersen House?","What famous politician died in the Petersen House?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/deathPlace> <http://dbpedia.org/resource/Petersen_House>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/deathPlace> <http://dbpedia.org/resource/Petersen_House>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>
}"
"2205","1.0","Where was Ne daj se, Nina first aired ?","Where was Ne daj se, Nina first aired ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ne_daj_se,_Nina> <http://dbpedia.org/property/firstAired> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Ne_daj_se,_Nina> <http://dbpedia.org/property/firstAired> ?uri 
}"
"2219","1.0","Who operates twin Cities 400 ?","Who operates twin Cities 400 ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Twin_Cities_400> <http://dbpedia.org/ontology/operatedBy> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Twin_Cities_400> <http://dbpedia.org/ontology/operatedBy> ?uri 
}"
"2237","1.0","Count the water bodies that flow into the North Sea?","Count the water bodies that flow into the North Sea?","SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/North_Sea> <http://dbpedia.org/property/inflow> ?uri  . }","SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/North_Sea> <http://dbpedia.org/property/inflow> ?uri  . }"
