QALD id,match status,QALD question,QueGG question,,TP,FP,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
168,0.894117647058824,In welcher Stadt wohnt Sylvester Stallone?,"""in welcher Stadt stirbt Sylvester Stallone?""",red,0,0,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/City> . <http://dbpedia.org/resource/Sylvester_Stallone> <http://dbpedia.org/ontology/residence> ?uri . },"""select  ?o    
{
    <http://dbpedia.org/resource/Sylvester_Stallone> <http://dbpedia.org/ontology/deathPlace>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    
}""",0,0,0,0,0,0
171,0.846153846153846,In welcher Zeitzone liegt Salt Lake City?,"""in welchem Land liegt Salt Lake City?""",red,0,1,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbp: <http://dbpedia.org/property/>
SELECT DISTINCT ?uri 
WHERE {
	res:Salt_Lake_City dbp:timezone ?uri . 
}","""select  ?o    
{
    <http://dbpedia.org/resource/Salt_Lake_City> <http://dbpedia.org/ontology/country>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Country> .    
}""",0,1,1,0,0,0
172,0.823529411764706,Wer ist der Sohn von Sonny und Cher?,"""wer ist die Sohn von Sonny Bono?""",,0,0,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Cher> . ?uri <http://dbpedia.org/ontology/parent> <http://dbpedia.org/resource/Sonny_Bono> . },"""select  ?o    
{
    <http://dbpedia.org/resource/Sonny_Bono> <http://dbpedia.org/ontology/child>  ?o .    
}""",0,0,1,0,0,0
173,0,In welcher Stadt ist das Hauptquartier der Vereinten Nationen?,,,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Headquarters_of_the_United_Nations> <http://dbpedia.org/ontology/location> ?uri . ?uri a <http://dbpedia.org/ontology/City> . } ,,0,0,1,0,0,0
174,0.96875,Wer hat Penguin Books gegründet?,"""wer hat Penguin Books gegr�ndet?""",green,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        res:Penguin_Books dbo:founder ?uri .
}","""select  ?o    
{
    <http://dbpedia.org/resource/Penguin_Books> <http://dbpedia.org/ontology/foundedBy>  ?o .    
}""",0,0,1,0,0,0
175,0.882352941176471,Wann wurde Jack Wolfskin gegründet?,"""Wann wurde Jack Wolfskin geboren?""",green,0,0,SELECT DISTINCT ?year WHERE {  <http://dbpedia.org/resource/Jack_Wolfskin> <http://dbpedia.org/ontology/foundingYear> ?year . } ,"""select  ?o    
{
    <http://dbpedia.org/resource/Jack_Wolfskin> <http://dbpedia.org/ontology/birthYear>  ?o .    
}""",0,0,1,0,0,0
176,0.972972972972973,Wer ist der Bürgermeister von Moskau?,"""wer ist der B�rgermeister von Moskau?""",,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
        res:Moscow dbo:leaderName ?uri .
}","""select  ?o    
{
    <http://dbpedia.org/resource/Moscow> <http://dbpedia.org/ontology/mayor>  ?o .    
}""",0,0,1,0,0,0
177,0,Gib mir alle Schwedischen Ozeanographen.,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
        ?uri dbo:field res:Oceanography . 
        ?uri dbo:birthPlace res:Sweden .        
}",,0,0,0,0,0,0
178,0,Zeig mir Hemmingways Autobiographie.,,,0,0,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Ernest_Hemingway> . ?uri <http://dbpedia.org/ontology/literaryGenre> <http://dbpedia.org/resource/Autobiography> . },,0,0,1,0,0,0
179,0,Wer sind die Eltern der Frau von Juan Carlos I?,,composite,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        res:Juan_Carlos_I_of_Spain dbo:spouse ?x . 
        ?x dbo:parent ?uri . 
}",,0,0,0,0,0,0
182,0,Welche Stadt hat die wenigsten Einwohner?,,,0,0,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> .  ?uri <http://dbpedia.org/ontology/populationTotal> ?pop . } ORDER BY ASC(?pop) OFFSET 0 LIMIT 1 ,,0,0,1,0,0,0
184,0,Wer waren die Eltern von Königin Viktoria?,,should work,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
         res:Queen_Victoria dbo:parent ?uri .
}",,0,0,2,0,0,0
188,0,Gib mir alle Bücher von William Goldman mit mehr als 300 Seiten.,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
        ?uri rdf:type dbo:Book .
        ?uri dbo:author res:William_Goldman .
        ?uri dbo:numberOfPages ?x .
        FILTER (?x > 300)
}",,0,0,10,0,0,0
191,0,Wo liegt Syngman Rhee begraben?,,red,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Syngman_Rhee> <http://dbpedia.org/ontology/restingPlace> ?uri . } ,,0,0,3,0,0,0
193,0,Welcher Stilrichtung gehörte der Maler der Drei Tänzer an?,,,0,0,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/The_Three_Dancers> <http://dbpedia.org/ontology/author> ?person .  ?person <http://dbpedia.org/ontology/movement> ?uri . } ,,0,0,2,0,0,0
194,0,Welcher Wissenschaftler ist bekannt für das Manhattan-Projekt und den Friedensnobelpreis?,,,0,0,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
        ?uri dbo:knownFor res:Manhattan_Project .
        ?uri rdf:type dbo:Scientist .
        ?uri dbo:knownFor res:Nobel_Peace_Prize .
}",,0,0,0,0,0,0
195,0,Zeig mir alle Bücher in Asimovs Foundation-Serie.,,should work,0,0,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/series> <http://dbpedia.org/resource/Foundation_series> . } ,,0,0,12,0,0,0
196,0,"Gib mir alle Städte in New Jersey, die mehr als 100000 Einwohner haben.",,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:City .
        ?uri dbo:isPartOf res:New_Jersey .
        ?uri dbp:populationTotal ?inhabitants .
        FILTER (?inhabitants > 100000) .
}",,0,0,0,0,0,0
197,0,Welches Museum in New York hat die meisten Besucher?,,,0,0,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Museum> .  ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/New_York_City> .  ?uri <http://dbpedia.org/ontology/numberOfVisitors> ?num . } ORDER BY DESC(?num) OFFSET 0 LIMIT 1 ,,0,0,1,0,0,0
201,0.831460674157303,Wer hat das Videospiel World of Warcraft entwickelt?,"""wer hat World of Warcraft entwickelt?""",should work,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:World_of_Warcraft dbo:developer ?uri . 
}","""select  ?s    
{
   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/World_of_Warcraft> .    
}""",0,0,1,0,0,0
202,0,Welcher Papst hat das Vatikanische Fernsehen gegründet?,,,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT ?uri 
WHERE { 
         ?uri rdf:type dbo:Pope . 
         res:Vatican_Television_Center dbo:foundedBy ?uri .
}",,0,0,0,0,0,0
203,0.837209302325581,Wer hat die Musik für Harold und Maude komponiert?,"""wer hat Harold und Maude komponiert?""",should work,0,0,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri 
WHERE {
	res:Harold_and_Maude dbo:musicComposer ?uri .
}","""select  ?o    
{
    <http://dbpedia.org/resource/Harold_and_Maude> <http://dbpedia.org/ontology/musicComposer>  ?o .    
}""",0,0,0,0,0,0
205,0,Wer spielt alles in spanischen Filmen produziert von Benicio del Toro mit? ,,,0,0,SELECT DISTINCT ?uri WHERE { ?film <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?film <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Spain> . ?film <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Benicio_del_Toro> . ?film <http://dbpedia.org/ontology/starring> ?uri . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person> . } ,,0,0,1,0,0,0
206,0,Welche Tochtergesellschaft von TUI Travel fliegt sowohl Glasgow als auch Dublin an?,,,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/TUI_Travel> <http://dbpedia.org/ontology/subsidiary> ?uri .  ?uri <http://dbpedia.org/ontology/targetAirport> <http://dbpedia.org/resource/Glasgow_Airport> . ?uri <http://dbpedia.org/ontology/targetAirport> <http://dbpedia.org/resource/Dublin_Airport> . } ,,0,0,1,0,0,0
208,0.8,Wieviele Sprachen werden in Kolumbien gesprochen?,"""in welchen Sprachen sind Kolumbien gesprochen?""",should work,0,0,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Language> .  <http://dbpedia.org/resource/Colombia> <http://dbpedia.org/ontology/language> ?uri . } ,"""select  ?o    
{
    <http://dbpedia.org/resource/Colombia> <http://dbpedia.org/ontology/language>  ?o .    
}""",0,0,1,0,0,0
211,0.755555555555556,Was sind die Stadtteile von Parlamentarische Monarchie?,"""was sind Stadtteile von Tschechien?""",red,0,0,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/governmentType> <http://dbpedia.org/resource/Constitutional_monarchy> . },"""select  ?s    
{
   ?s <http://dbpedia.org/ontology/governmentType>  <http://dbpedia.org/resource/Czech_Republic> .    
}""",0,0,141,0,0,0
214,0,Wo in Frankreich wird Schaumwein hergestellt?,,,0,0,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri
WHERE {
        ?uri dbo:wineProduced res:Sparkling_wine .
        ?uri dbo:location res:France .
}",,0,0,1,0,0,0
,,,,,512,227,,,512,227,405,0.6928281,0.5583424,0.6183575
